"","cellids","conf1","conf2","conf3"
"384","D367","unassigned","unassigned","2"
"385","D363","unassigned","unassigned","2"
"386","D367","3","1","2"
"387","D344","3","1","2"
"388","D372","3","1","2"
"389","D353","3","1","2"
"390","D367","unassigned","unassigned","2"
"391","D344","3","1","2"
"392","D353","unassigned","unassigned","2"
"393","D326","unassigned","unassigned","2"
"394","D372","unassigned","unassigned","2"
"395","D353","unassigned","unassigned","2"
"396","D344","unassigned","unassigned","2"
"397","D372","unassigned","unassigned","2"
"398","D363","unassigned","unassigned","2"
"399","D339","3","unassigned","2"
"400","D326","3","1","2"
"401","D363","3","1","2"
"402","D339","unassigned","unassigned","2"
"403","D372","3","1","2"
"404","D353","unassigned","1","2"
"405","D339","3","unassigned","2"
"406","D344","3","unassigned","2"
"407","D353","3","unassigned","2"
"408","D353","unassigned","1","2"
"409","D339","unassigned","unassigned","2"
"410","D363","unassigned","unassigned","2"
"411","D372","unassigned","unassigned","2"
"412","D372","unassigned","unassigned","2"
"413","D354","unassigned","unassigned","2"
"414","D367","unassigned","unassigned","2"
"415","D367","3","unassigned","2"
"416","D353","3","1","2"
"417","D326","unassigned","unassigned","2"
"418","D363","unassigned","unassigned","2"
"419","D354","3","unassigned","2"
"420","D339","unassigned","unassigned","2"
"421","D322","unassigned","unassigned","unassigned"
"422","D354","unassigned","unassigned","2"
"423","D353","unassigned","unassigned","2"
"424","D353","unassigned","unassigned","2"
"425","D353","unassigned","unassigned","2"
"426","D322","3","1","2"
"427","D372","unassigned","unassigned","2"
"428","D353","unassigned","unassigned","2"
"429","D372","unassigned","unassigned","2"
"430","D367","unassigned","unassigned","2"
"431","D326","unassigned","unassigned","2"
"432","D322","3","1","2"
"433","D326","3","1","2"
"434","D363","unassigned","unassigned","2"
"435","D353","unassigned","unassigned","2"
"436","D354","unassigned","unassigned","2"
"437","D337","unassigned","1","2"
"438","D367","unassigned","unassigned","2"
"439","D367","3","1","2"
"440","D354","3","1","2"
"441","D372","3","1","2"
"442","D339","unassigned","unassigned","2"
"443","D372","unassigned","unassigned","2"
"444","D322","3","unassigned","2"
"445","D326","3","unassigned","2"
"446","D322","3","1","2"
"447","D363","3","1","2"
"448","D344","3","unassigned","2"
"449","D367","3","unassigned","2"
"450","D363","unassigned","unassigned","2"
"451","D353","unassigned","unassigned","2"
"452","D339","3","unassigned","2"
"453","D339","unassigned","unassigned","2"
"454","D326","3","1","2"
"455","D363","unassigned","unassigned","2"
"456","D326","1","unassigned","2"
"457","D353","unassigned","unassigned","2"
"458","D344","unassigned","unassigned","2"
"459","D322","unassigned","unassigned","2"
"460","D344","3","1","2"
"461","D344","3","1","2"
"462","D363","unassigned","unassigned","2"
"463","D339","unassigned","unassigned","2"
"464","D344","unassigned","unassigned","2"
"465","D354","3","unassigned","2"
"466","D354","unassigned","unassigned","2"
"467","D337","3","1","2"
"468","D367","3","1","2"
"469","D367","3","1","2"
"470","D344","3","1","2"
"471","D363","unassigned","unassigned","2"
"472","D372","unassigned","unassigned","2"
"473","D353","unassigned","unassigned","2"
"474","D372","unassigned","unassigned","2"
"475","D353","3","1","2"
"476","D353","3","1","2"
"477","D353","3","1","2"
"478","D344","3","1","2"
"479","D363","unassigned","unassigned","2"
"480","D354","unassigned","unassigned","2"
"481","D354","3","unassigned","2"
"482","D363","unassigned","unassigned","2"
"483","D339","unassigned","unassigned","2"
"484","D353","unassigned","unassigned","2"
"485","D353","unassigned","unassigned","2"
"486","D344","3","1","2"
"487","D326","unassigned","unassigned","2"
"488","D363","unassigned","unassigned","2"
"489","D372","3","1","2"
"490","D322","unassigned","unassigned","2"
"491","D372","unassigned","unassigned","2"
"492","D322","unassigned","unassigned","2"
"493","D353","unassigned","unassigned","2"
"494","D372","3","unassigned","2"
"495","D367","unassigned","1","2"
"496","D337","unassigned","unassigned","2"
"497","D372","unassigned","unassigned","2"
"498","D372","3","1","2"
"499","D353","unassigned","unassigned","2"
"500","D372","3","unassigned","2"
"501","D363","unassigned","unassigned","2"
"502","D337","unassigned","unassigned","2"
"503","D372","unassigned","unassigned","2"
"504","D353","3","unassigned","2"
"505","D367","unassigned","unassigned","2"
"506","D372","unassigned","unassigned","2"
"507","D353","unassigned","unassigned","2"
"508","D372","3","1","2"
"509","D363","unassigned","unassigned","2"
"510","D372","unassigned","unassigned","2"
"511","D372","3","1","2"
"512","D367","unassigned","unassigned","2"
"513","D354","unassigned","unassigned","2"
"514","D353","unassigned","unassigned","2"
"515","D353","unassigned","unassigned","2"
"516","D326","unassigned","1","2"
"517","D337","unassigned","unassigned","2"
"518","D353","unassigned","unassigned","2"
"519","D322","unassigned","unassigned","2"
"520","D353","unassigned","unassigned","2"
"521","D363","unassigned","unassigned","2"
"522","D353","3","1","2"
"523","D326","3","1","2"
"524","D339","unassigned","unassigned","unassigned"
"525","D372","unassigned","unassigned","2"
"526","D322","3","1","2"
"527","D372","unassigned","unassigned","2"
"528","D326","unassigned","unassigned","2"
"529","D353","unassigned","unassigned","2"
"530","D353","unassigned","unassigned","2"
"531","D353","unassigned","1","2"
"532","D322","3","1","2"
"533","D339","unassigned","unassigned","2"
"534","D372","3","1","2"
"535","D354","3","1","2"
"536","D372","unassigned","unassigned","2"
"537","D372","unassigned","unassigned","2"
"538","D353","unassigned","unassigned","2"
"539","D339","3","1","2"
"540","D353","unassigned","unassigned","2"
"541","D372","unassigned","unassigned","2"
"542","D322","unassigned","unassigned","2"
"543","D339","3","1","2"
"544","D353","3","unassigned","2"
"545","D367","3","1","2"
"546","D363","3","1","2"
"547","D372","3","1","2"
"548","D339","3","1","2"
"549","D353","unassigned","unassigned","2"
"550","D353","3","unassigned","2"
"551","D367","unassigned","unassigned","2"
"552","D367","unassigned","unassigned","2"
"553","D353","3","1","2"
"554","D326","unassigned","unassigned","2"
"555","D367","3","1","2"
"556","D344","unassigned","unassigned","2"
"557","D367","unassigned","unassigned","2"
"558","D326","unassigned","unassigned","2"
"559","D353","3","1","2"
"560","D353","unassigned","unassigned","2"
"561","D367","unassigned","unassigned","2"
"562","D339","3","unassigned","2"
"563","D322","3","1","2"
"564","D367","3","1","2"
"565","D326","unassigned","unassigned","2"
"566","D344","unassigned","unassigned","2"
"567","D326","unassigned","unassigned","2"
"568","D353","unassigned","unassigned","2"
"569","D353","unassigned","unassigned","2"
"570","D353","unassigned","unassigned","2"
"571","D367","3","1","2"
"572","D367","unassigned","unassigned","2"
"573","D363","unassigned","unassigned","2"
"574","D322","unassigned","1","2"
"575","D367","unassigned","1","2"
"576","D339","3","unassigned","2"
"577","D322","3","1","2"
"578","D367","3","1","2"
"579","D367","3","1","2"
"580","D372","unassigned","unassigned","2"
"581","D353","unassigned","unassigned","2"
"582","D363","unassigned","unassigned","2"
"583","D344","unassigned","unassigned","2"
"584","D322","3","1","2"
"585","D372","unassigned","unassigned","2"
